Phantom_DLL,Loaded_By,Loaded_By_Paths,Operating_Systems,Phantom_DLL_Functions,Notes,Reference Links
bootlib.dll,bootvhd.dll,winsxs,"Win11, Win10",,,
bootlib.dll,bootspaces.dll,winsxs,Win11,,,
bootlib.dll,bootuwf.dll,winsxs,Win11,,,
bootlib.dll,hvloader.dll,System32,2019,,Confirmed. Rundll32.exe load,
bootlib.dll,ntoskrnl.exe,System32,2019,,Failed to get this to load,
container.policy.manager.dll,cmagent.dll,winsxs,Win11,,Confirmed vi rundll32.exe on Win11,
mpclient.dll,mpcommu.dll,winsxs,Win11,,,
mpclient.dll,mpsvc.dll,winsxs,Win11,,,
mpclient.dll,nissrv.exe,winsxs,Win11,,Confirmed vi rundll32.exe on Win11,
msdatl3.dll,sqloledb.dll,winsxs,"Win11, Win10",,,
updateapi.dll,ducsps.dll,System32,"Win11, Win10, 2019",,,https://www.hexacorn.com/blog/2024/09/03/rundll32-and-phantom-dll-lolbins/
winsetup.dll,spprgrss.dll,winsxs,Win11,,,
winsetup.dll,diagnostic.dll,winsxs,Win11,,,
winsetup.dll,uxlib.dll,winsxs,Win11,,,https://www.hexacorn.com/blog/2024/09/04/rundll32-and-phantom-dll-lolbins-32-bit-version/
tlsbrand.dll,tssrvlic.dll,winsxs,"Win11, Win10",,,https://www.hexacorn.com/blog/2024/09/03/rundll32-and-phantom-dll-lolbins/
tlsbrand.dll,mstlsapi.dll,winsxs,Win11,,,
tlsbrand.dll,tlsbln.exe,winsxs,"Win11, Win10",,Confirmed,
actionmgr.dll,speechpal.dll,System32,Win10,,,
libcrypto-1_1.dll,nvrtmpstreamer64.dll,System32,Win10,,,
libssl-1_1.dll,nvrtmpstreamer64.dll,System32,Win10,,,
msdatl3.dll,sqloledb.dll,winsxs,Win10,,,
wdsutil.dll,uxlib.dll,"System32, Syswow64",Win10,,Confirmed via rundll32.exe on Win10. Exists at system32\oobe,
mstlsapi.dll,tlsbln.exe,winsxs,Win10,,Confirmed via rundll32.exe on Win10,
tlsbrand.dll,tlsbln.exe,winsxs,Win10,,Confirmed via rundll32.exe on Win10,
nwprovau.dll,adsnds.dll,Syswow64,Win10,,Confirmed via rundll32.exe on Win10. 32-bit NetWare resource?,
nwapi32.dll,adsnds.dll,Syswow64,Win10,,Exists on Win10,
ddptrace.dll,ddpchunk.dll,winsxs,Win10,,Exists on Win10,
perfcounters.dll,station.dll,winsxs,Win10,,,
rtpm.dll,hgattest.dll,winsxs,Win10,,,
rfxvmt.dll,rdvgocl32.dll,winsxs,Win10,,,
rfxvmt.dll,rdvgocl64.dll,winsxs,Win10,,,
sensorsutilsv2.dll,sensorscx.dll,system32\drivers\umdf,Win10,,"Exists in system32, but could sideload",
systemeventsbrokerclient.dll,windows.networking.backgroundtransfer.dll,"System32, Syswow64",2012,,confirmed. Note - brokerserver file exists but not brokerclient.,
luiapi.dll,resetengonline.dll,System32,2019,,confirmed via rundll32.exe.,
fveapi.dll,resetengine.exe,System32,2019,,Confirmed,
vid.dll,winhvplatform.dll,System32,2019,,confirmed via rundll32.exe.,
wlanapi.dll,castlaunch.dll,System32,2019,,,
wlanapi.dll,mdmsettingsprov.dll,system32\wbem\,2019,,,
wlanapi.dll,tetheringclient.dll,"System32, winsxs",2019,,,
wlanapi.dll,wcnwiz.dll,Syswow64,2019,,,
wlanapi.dll,windows.devices.wifi.dll,System32,2019,,,
wlanapi.dll,legacynetuxhost.exe,System32,2019,,Confirmed in 2019.,
wscapi.dll,mdmsettingsprov.dll,system32\wbem\,2019,,confirmed via rundll32.exe.,
NTOSKRNL.DLL,cdd.dll,"System32,winsxs",Win10,,Tested on Win10 and it wanted to load the DLL,
